"Latest: Time (s)","Latest: Illumination (lux)"
3.116,91.7617797852
3.118,84.0542602539
3.12,85.9341430664
3.122,98.5176086426
3.124,107.729034424
3.126,117.680664062
3.128,104.345245361
3.13,194.885101318
3.132,80.8702087402
3.134,118.056640625
3.136,112.052764893
3.138,103.969268799
3.14,117.116699219
3.142,130.275878906
3.144,134.399871826
3.146,131.580047607
3.148,136.46774292
3.15,122.944335938
3.152,105.849151611
3.154,116.740722656
3.156,113.18069458
3.158,136.46774292
3.16,135.527801514
3.162,145.115203857
3.164,144.739227295
3.166,196.952972412
3.168,111.300811768
3.17,109.608917236
3.172,189.069213867
3.174,98.5176086426
3.176,175.921783447
3.178,159.390563965
3.18,155.066833496
3.182,161.64642334
3.184,145.867156982
3.186,131.768035889
3.188,136.655731201
3.19,144.175262451
3.192,145.115203857
3.194,171.974029541
3.196,171.78604126
3.198,167.086334229
3.2,162.574615479
3.202,150.555114746
3.204,152.059020996
3.206,151.683044434
3.208,225.139465332
3.21,131.204071045
3.212,215.364074707
3.214,193.95690918
3.216,191.701049805
3.218,175.733795166
3.22,162.022399902
3.222,168.402252197
3.224,172.537994385
3.226,190.761108398
3.228,199.020843506
3.23,203.344573975
3.232,201.464691162
3.234,193.580932617
3.236,187.189331055
3.238,170.094146729
3.24,179.669799805
3.242,184.745483398
3.244,226.079406738
3.246,171.222076416
3.248,230.391387939
3.25,230.015411377
3.252,178.177642822
3.254,216.304016113
3.256,190.573120117
3.258,181.361694336
3.26,201.464691162
3.262,216.304016113
3.264,209.924163818
3.266,222.883605957
3.268,215.364074707
3.27,198.832855225
3.272,208.044281006
3.274,195.637054443
3.276,203.720550537
3.278,206.540374756
3.28,208.796234131
3.282,221.75567627
3.284,227.007598877
3.286,235.091094971
3.288,170.846099854
3.29,230.579376221
3.292,218.183898926
3.294,219.875793457
3.296,202.028656006
3.298,230.579376221
3.3,222.695617676
3.302,234.903106689
3.304,226.819610596
3.306,224.387512207
3.308,212.73223877
3.31,225.139465332
3.312,220.815734863
3.314,214.988098145
3.316,237.534942627
3.318,226.26739502
3.32,233.399200439
3.322,232.459259033
3.324,188.505249023
3.326,230.203399658
3.328,229.263458252
3.33,234.339141846
3.332,232.647247314
3.334,236.031036377
3.336,229.639434814
3.338,236.407012939
3.34,236.407012939
3.342,208.796234131
3.344,236.219024658
3.346,228.135528564
3.348,226.26739502
3.35,228.135528564
3.352,223.635559082
3.354,232.083282471
3.356,235.655059814
3.358,232.647247314
3.36,235.467071533
3.362,233.775177002
3.364,227.571563721
3.366,229.075469971
3.368,223.071594238
3.37,238.098907471
3.372,235.279083252
3.374,233.587188721
3.376,237.158966064
3.378,239.790802002
3.38,238.474884033
3.382,234.715118408
3.384,235.279083252
3.386,235.843048096
3.388,236.782989502
3.39,231.331329346
3.392,233.963165283
3.394,235.655059814
3.396,235.843048096
3.398,236.219024658
3.4,206.916351318
3.402,239.226837158
3.404,172.725982666
3.406,225.515441895
3.408,226.631622314
3.41,215.74005127
3.412,231.331329346
3.414,228.511505127
3.416,228.135528564
3.418,229.075469971
3.42,222.319641113
3.422,219.687805176
3.424,217.24395752
3.426,218.74786377
3.428,217.807922363
3.43,224.951477051
3.432,228.511505127
3.434,226.819610596
3.436,223.071594238
3.438,221.943664551
3.44,149.61517334
3.442,204.284515381
3.444,218.183898926
3.446,157.698669434
3.448,229.075469971
3.45,195.261077881
3.452,213.108215332
3.454,208.984222412
3.456,198.0809021
3.458,188.317260742
3.46,193.204956055
3.462,190.009155273
3.464,202.59262085
3.466,204.660491943
3.468,200.524749756
3.47,195.825042725
3.472,194.144897461
3.474,185.121459961
3.476,184.369506836
3.478,163.702545166
3.48,193.580932617
3.482,89.6939086914
3.484,174.417877197
3.486,157.510681152
