"Latest: Time (s)","Latest: Illumination (lux)"
41.466,73.914642334
41.467,75.0425720215
41.468,72.7867126465
41.469,71.8467712402
41.47,71.2828063965
41.471,70.906829834
41.472,73.5386657715
41.473,75.9825134277
41.474,78.9903259277
41.475,78.9903259277
41.476,78.9903259277
41.477,75.6065368652
41.478,74.8545837402
41.479,72.9747009277
41.48,73.5386657715
41.481,74.8545837402
41.482,77.4864196777
41.483,75.7945251465
41.484,73.914642334
41.485,72.9747009277
41.486,71.2828063965
41.487,72.9747009277
41.488,73.3506774902
41.489,75.9825134277
41.49,76.922454834
41.491,76.3584899902
41.492,75.7945251465
41.493,74.8545837402
41.494,72.5987243652
41.495,74.8545837402
41.496,75.0425720215
41.497,76.922454834
41.498,76.3584899902
41.499,73.914642334
41.5,72.5987243652
41.501,72.0347595215
41.502,72.9747009277
41.503,72.410736084
41.504,75.7945251465
41.505,78.6143493652
41.506,75.7945251465
41.507,72.9747009277
41.508,72.9747009277
41.509,73.914642334
41.51,75.6065368652
41.511,77.674407959
41.512,78.8023376465
41.513,75.6065368652
41.514,72.7867126465
41.515,71.8467712402
41.516,73.3506774902
41.517,73.914642334
41.518,73.162689209
41.519,74.666595459
41.52,76.5464782715
41.521,76.922454834
41.522,73.3506774902
41.523,72.5987243652
41.524,71.0948181152
41.525,72.7867126465
41.526,78.426361084
41.527,81.6221618652
41.528,78.6143493652
41.529,74.4786071777
41.53,72.410736084
41.531,72.410736084
41.532,73.162689209
41.533,74.4786071777
41.534,75.418548584
41.535,75.0425720215
41.536,74.666595459
41.537,73.3506774902
41.538,72.7867126465
41.539,72.0347595215
41.54,73.3506774902
41.541,74.2906188965
41.542,77.2984313965
41.543,78.9903259277
41.544,77.4864196777
41.545,73.5386657715
41.546,72.5987243652
41.547,71.0948181152
41.548,74.8545837402
41.549,77.1104431152
41.55,78.8023376465
41.551,76.170501709
41.552,72.5987243652
41.553,70.906829834
41.554,71.4707946777
41.555,72.9747009277
41.556,77.2984313965
41.557,77.2984313965
41.558,75.6065368652
41.559,72.410736084
41.56,71.2828063965
41.561,72.7867126465
41.562,75.418548584
41.563,78.426361084
41.564,78.2383728027
41.565,75.6065368652
41.566,73.3506774902
41.567,72.9747009277
41.568,72.0347595215
41.569,72.7867126465
41.57,73.7266540527
