"Latest: Time (s)","Latest: Illumination (lux)"
14.726,103.593292236
14.727,104.15725708
14.728,104.721221924
14.729,105.66116333
14.73,104.909210205
14.731,104.721221924
14.732,104.15725708
14.733,104.345245361
14.734,104.721221924
14.735,104.533233643
14.736,105.285186768
14.737,105.097198486
14.738,104.909210205
14.739,105.097198486
14.74,103.593292236
14.741,103.969268799
14.742,105.097198486
14.743,104.909210205
14.744,104.721221924
14.745,105.849151611
14.746,105.849151611
14.747,104.533233643
14.748,105.849151611
14.749,103.969268799
14.75,105.473175049
14.751,105.66116333
14.752,103.969268799
14.753,104.533233643
14.754,104.909210205
14.755,104.15725708
14.756,104.721221924
14.757,105.285186768
14.758,104.15725708
14.759,104.345245361
14.76,105.473175049
14.761,103.593292236
14.762,105.473175049
14.763,104.533233643
14.764,105.849151611
14.765,104.15725708
14.766,104.533233643
14.767,105.097198486
14.768,106.413116455
14.769,105.097198486
14.77,104.533233643
14.771,104.15725708
14.772,103.593292236
14.773,104.533233643
14.774,105.097198486
14.775,104.721221924
14.776,104.909210205
14.777,103.969268799
14.778,106.037139893
14.779,104.15725708
14.78,106.601104736
14.781,107.16506958
14.782,104.909210205
14.783,104.909210205
14.784,105.097198486
14.785,105.849151611
14.786,105.849151611
14.787,104.15725708
14.788,102.841339111
14.789,103.969268799
14.79,104.345245361
14.791,104.345245361
14.792,103.593292236
14.793,104.15725708
14.794,105.097198486
14.795,103.593292236
14.796,105.473175049
14.797,105.097198486
14.798,105.097198486
14.799,105.285186768
14.8,104.533233643
14.801,104.909210205
14.802,106.037139893
14.803,104.909210205
14.804,104.721221924
14.805,103.593292236
14.806,104.15725708
14.807,105.66116333
14.808,103.781280518
14.809,104.909210205
14.81,104.345245361
14.811,106.225128174
14.812,104.909210205
14.813,105.66116333
14.814,106.037139893
14.815,104.15725708
14.816,106.977081299
14.817,104.721221924
14.818,105.097198486
14.819,104.15725708
14.82,103.781280518
14.821,104.15725708
14.822,103.593292236
14.823,103.217315674
14.824,105.66116333
14.825,105.473175049
14.826,103.593292236
14.827,105.849151611
14.828,104.15725708
14.829,103.593292236
14.83,107.16506958
14.831,105.473175049
14.832,105.849151611
14.833,104.15725708
14.834,104.345245361
14.835,105.097198486
14.836,104.533233643
14.837,103.969268799
14.838,104.15725708
14.839,105.097198486
14.84,103.217315674
14.841,105.097198486
14.842,104.909210205
14.843,103.969268799
14.844,106.037139893
14.845,104.345245361
14.846,104.533233643
14.847,106.789093018
14.848,104.721221924
14.849,106.413116455
14.85,105.849151611
14.851,105.097198486
14.852,104.15725708
14.853,103.593292236
14.854,105.285186768
14.855,103.593292236
14.856,103.781280518
14.857,104.15725708
14.858,105.66116333
14.859,104.15725708
14.86,105.097198486
14.861,104.345245361
14.862,105.849151611
14.863,105.285186768
14.864,105.285186768
14.865,106.413116455
14.866,105.473175049
14.867,104.345245361
14.868,105.66116333
14.869,103.969268799
14.87,103.969268799
14.871,103.217315674
14.872,103.969268799
14.873,103.781280518
14.874,103.593292236
14.875,105.097198486
14.876,103.969268799
14.877,103.781280518
14.878,104.721221924
14.879,104.909210205
14.88,106.037139893
14.881,105.849151611
14.882,105.097198486
14.883,104.345245361
14.884,105.66116333
14.885,104.533233643
14.886,104.533233643
14.887,104.345245361
14.888,102.841339111
14.889,104.721221924
14.89,104.345245361
14.891,104.721221924
14.892,105.097198486
14.893,103.593292236
14.894,105.66116333
14.895,106.037139893
14.896,106.789093018
14.897,107.16506958
14.898,105.66116333
14.899,105.285186768
14.9,104.15725708
14.901,105.473175049
14.902,104.909210205
14.903,103.969268799
14.904,103.593292236
14.905,104.345245361
14.906,104.533233643
14.907,103.217315674
14.908,106.789093018
14.909,104.15725708
14.91,103.969268799
14.911,106.789093018
14.912,105.473175049
14.913,105.097198486
14.914,106.413116455
14.915,106.225128174
14.916,105.097198486
14.917,104.533233643
14.918,104.909210205
14.919,104.345245361
14.92,104.533233643
14.921,103.969268799
14.922,103.029327393
14.923,104.533233643
14.924,104.909210205
14.925,104.533233643
14.926,104.721221924
14.927,105.66116333
14.928,104.345245361
14.929,104.721221924
14.93,105.66116333
14.931,106.789093018
14.932,105.473175049
14.933,106.037139893
14.934,103.593292236
14.935,104.909210205
14.936,104.909210205
14.937,103.781280518
14.938,103.029327393
14.939,104.721221924
14.94,102.841339111
14.941,104.15725708
14.942,105.66116333
14.943,105.473175049
14.944,104.909210205
14.945,105.66116333
14.946,104.345245361
14.947,106.413116455
14.948,105.66116333
14.949,105.097198486
14.95,105.849151611
14.951,105.66116333
14.952,104.15725708
14.953,105.66116333
14.954,105.097198486
14.955,103.029327393
14.956,104.15725708
14.957,103.405303955
14.958,104.909210205
14.959,104.909210205
14.96,104.533233643
14.961,105.66116333
14.962,103.781280518
14.963,105.285186768
14.964,104.909210205
14.965,104.533233643
14.966,105.66116333
14.967,104.15725708
14.968,103.781280518
14.969,106.413116455
14.97,104.909210205
14.971,103.593292236
14.972,104.345245361
14.973,102.841339111
14.974,104.909210205
14.975,105.097198486
14.976,103.405303955
14.977,105.097198486
14.978,103.781280518
14.979,104.15725708
14.98,105.849151611
14.981,106.413116455
14.982,104.909210205
14.983,104.345245361
14.984,104.15725708
14.985,104.721221924
14.986,104.533233643
14.987,104.15725708
14.988,103.593292236
14.989,102.841339111
14.99,103.405303955
14.991,104.15725708
14.992,103.593292236
14.993,104.721221924
14.994,104.533233643
14.995,105.285186768
14.996,105.473175049
14.997,105.66116333
14.998,105.285186768
14.999,104.15725708
15,103.969268799
15.001,105.285186768
15.002,104.15725708
15.003,104.345245361
15.004,104.345245361
15.005,103.969268799
15.006,103.593292236
15.007,104.533233643
15.008,104.533233643
15.009,105.097198486
15.01,105.097198486
15.011,104.345245361
15.012,104.533233643
15.013,105.66116333
15.014,106.037139893
15.015,106.225128174
15.016,104.533233643
15.017,104.533233643
15.018,104.533233643
15.019,105.285186768
15.02,104.721221924
15.021,104.345245361
15.022,104.345245361
15.023,103.029327393
15.024,104.15725708
15.025,104.15725708
15.026,105.473175049
15.027,104.345245361
15.028,105.849151611
15.029,103.969268799
15.03,105.473175049
15.031,104.909210205
15.032,104.909210205
15.033,105.66116333
15.034,104.15725708
15.035,104.909210205
15.036,105.097198486
15.037,106.225128174
15.038,104.909210205
15.039,105.66116333
15.04,104.533233643
15.041,106.601104736
15.042,106.601104736
15.043,105.849151611
15.044,105.66116333
15.045,104.15725708
15.046,106.413116455
15.047,106.225128174
15.048,105.849151611
15.049,106.037139893
15.05,105.473175049
15.051,104.345245361
15.052,104.909210205
15.053,103.969268799
15.054,103.593292236
15.055,103.969268799
15.056,103.217315674
15.057,103.969268799
15.058,105.097198486
15.059,104.909210205
15.06,105.473175049
15.061,105.473175049
15.062,104.345245361
15.063,105.849151611
15.064,105.097198486
15.065,105.849151611
15.066,104.15725708
15.067,104.721221924
15.068,104.909210205
15.069,103.593292236
15.07,104.721221924
15.071,102.841339111
15.072,105.849151611
15.073,105.285186768
15.074,104.15725708
15.075,104.721221924
15.076,104.533233643
15.077,104.345245361
15.078,105.66116333
15.079,103.781280518
15.08,105.66116333
15.081,105.473175049
15.082,106.225128174
15.083,104.345245361
15.084,105.097198486
15.085,103.969268799
15.086,104.533233643
15.087,105.849151611
15.088,102.841339111
15.089,102.841339111
15.09,104.15725708
15.091,105.285186768
15.092,105.473175049
15.093,105.097198486
15.094,105.285186768
15.095,104.533233643
15.096,104.345245361
15.097,105.285186768
15.098,104.909210205
15.099,104.721221924
15.1,106.225128174
15.101,103.593292236
15.102,105.097198486
15.103,105.285186768
15.104,104.533233643
15.105,102.65335083
15.106,104.721221924
15.107,104.909210205
15.108,104.909210205
15.109,104.345245361
15.11,103.969268799
15.111,104.909210205
15.112,105.097198486
15.113,106.601104736
15.114,105.66116333
15.115,106.037139893
15.116,104.533233643
15.117,105.285186768
15.118,104.15725708
15.119,103.593292236
15.12,104.15725708
15.121,103.781280518
15.122,103.593292236
15.123,104.909210205
15.124,104.909210205
15.125,105.285186768
15.126,104.533233643
15.127,105.285186768
15.128,104.15725708
15.129,105.66116333
15.13,105.097198486
15.131,104.533233643
15.132,103.969268799
15.133,105.473175049
15.134,105.285186768
15.135,103.405303955
15.136,105.849151611
15.137,104.15725708
15.138,103.969268799
15.139,104.533233643
15.14,103.593292236
15.141,104.909210205
15.142,105.285186768
15.143,103.969268799
15.144,104.721221924
15.145,103.781280518
15.146,105.66116333
15.147,106.601104736
15.148,104.721221924
15.149,106.601104736
15.15,103.593292236
